_time,direction,rho,speed
1652283213022000000,222,1.2277250579134815,6.9
1652284800000000000,226,1.2293328809848414,7.1
1652288400000000000,237,1.2295783205562423,6.0
1652289059889000000,226,1.2296437916180905,5.7
