_time,direction,rho,speed
1651152925055000000,297,1.2711066391268409,14.2
1651154400000000000,296,1.2698358920066604,14.8
1651158000000000000,297,1.2709410837242794,13.3
1651158299935000000,300,1.270944208056305,12.8
